535.189,37.6645,339.127,209.945,-0.0258556
214.786,281.329,47.5357,23.7902,1.44691
205.426,444.931,28.3869,20.6878,-1.42101
271.82,681.192,545.652,217.084,1.46232
283.428,718.35,116.938,87.4759,-0.448108
183.118,751.201,13.0438,11.662,-1.14318
328.076,818.914,401.88,165.776,1.56057
181.921,899.2,15.7589,14.4292,1.97626e-323
181.921,899.2,15.7589,14.4292,0.334274
417.064,916.97,714.595,87.1405,1.27065
431.891,925.756,727.333,89.585,1.25443
436.374,932.617,735.231,90.3164,1.25147
177.353,1036.33,183.546,23.4976,1.51919
1040.71,1068.6,39.9694,25.7528,-1.42942
1035.1,1070.87,32.6606,17.9763,-1.41313
493.749,1113.94,827.59,132.071,1.00941
621.201,1131.3,450.501,130.021,-0.155417
328.723,1149.83,437.525,57.0949,1.22316
176.487,1210.85,13.7753,8.78425,1.47792
187.555,1235.51,11.7041,10.5673,1.40272
352.348,1235.22,423.257,50.4847,1.11177
204.699,1242.42,390.761,36.8016,1.47635
116.219,1244.56,79.4376,23.9622,-0.5739
221.74,1315.3,464.844,41.1332,1.45423
639.245,1315.37,497.777,97.9838,-0.549403
360.767,1345.46,290.925,76.5103,0.802985
145.776,1363.17,168.765,30.447,-1.38318
371.931,1376.78,321.733,77.2346,0.848343
657.756,1382.41,520.69,83.463,-0.677232
660.67,1393.98,524.848,78.0699,-0.695044
208.017,1413.2,217.785,19.1472,1.43138
666.705,1415.31,534.791,76.7973,-0.734681
672.078,1427.91,539.595,75.7079,-0.759517
598.415,1451.03,605.157,67.3854,-0.724178
686.604,1464.45,505.009,64.563,-0.552811
1023.36,1474.5,79.1969,32.7318,-0.622536
494.822,1546.55,276.983,39.757,-0.198609
770.902,1555.37,646.419,181.134,1.54119
366.172,1567.94,146.663,29.3375,-0.231089
967.861,1589.71,18.2471,15.7625,1.97626e-323
967.861,1589.71,18.2471,15.7625,1.52608
236.951,1599.57,13.6044,9.90499,0.0161203
657.605,1649.71,360.397,227.246,-0.0725127
329.846,1676.05,94.7703,50.2614,-0.081435
264.758,1705.33,14.2164,9.28615,0.0962276
623.733,1723.82,330.113,182.634,0.219426
279.327,1771.84,18.5825,14.998,-0.296436
